,obj,marina,anieke
1,PF71289-Globorotalia-menardii_obj00003_plane000.jpg,correct,remove
2,PF71289-Globorotalia-menardii_obj00004_plane000.jpg,correct,remove
4,PF71289-Globorotalia-menardii_obj00006_plane000.jpg,correct,remove
5,PF71290-Globorotalia-menardii_obj00001_plane000.jpg,remove,correct
6,PF71290-Globorotalia-menardii_obj00002_plane000.jpg,correct,remove
8,PF71290-Globorotalia-menardii_obj00004_plane000.jpg,remove,correct
9,PF71290-Globorotalia-menardii_obj00005_plane000.jpg,remove,correct
11,PF71290-Globorotalia-menardii_obj00007_plane000.jpg,correct,remove
12,PF71290-Globorotalia-menardii_obj00008_plane000.jpg,remove,correct
13,PF71290-Globorotalia-menardii_obj00009_plane000.jpg,remove,correct
15,PF71290-Globorotalia-menardii_obj00011_plane000.jpg,correct,remove
16,PF71290-Globorotalia-menardii_obj00012_plane000.jpg,correct,remove
21,PF71290-Globorotalia-menardii_obj00017_plane000.jpg,correct,remove
22,PF71290-Globorotalia-menardii_obj00018_plane000.jpg,correct,remove
26,PF71290-Globorotalia-menardii_obj00022_plane000.jpg,correct,remove
34,PF71290-Globorotalia-menardii_obj00030_plane000.jpg,remove,correct
47,PF71290-Globorotalia-menardii_obj00043_plane000.jpg,remove,correct
53,PF71290-Globorotalia-menardii_obj00049_plane000.jpg,remove,correct
63,PF71290-Globorotalia-menardii_obj00059_plane000.jpg,remove,correct
67,PF71290-Globorotalia-menardii_obj00063_plane000.jpg,remove,correct
71,PF71291-Globorotalia-menardii_obj00003_plane000.jpg,correct,remove
72,PF71292-Globorotalia-menardii_obj00001_plane000.jpg,correct,remove
75,PF71292-Globorotalia-menardii_obj00004_plane000.jpg,remove,correct
79,PF71292-Globorotalia-menardii_obj00008_plane000.jpg,correct,remove
81,PF71292-Globorotalia-menardii_obj00010_plane000.jpg,remove,correct
84,PF71292-Globorotalia-menardii_obj00013_plane000.jpg,remove,correct
85,PF71292-Globorotalia-menardii_obj00014_plane000.jpg,remove,correct
88,PF71292-Globorotalia-menardii_obj00017_plane000.jpg,correct,remove
89,PF71292-Globorotalia-menardii_obj00018_plane000.jpg,correct,remove
93,PF71292-Globorotalia-menardii_obj00022_plane000.jpg,correct,remove
94,PF71292-Globorotalia-menardii_obj00023_plane000.jpg,correct,remove
96,PF71292-Globorotalia-menardii_obj00025_plane000.jpg,correct,remove
98,PF71292-Globorotalia-menardii_obj00027_plane000.jpg,correct,remove
101,PF71292-Globorotalia-menardii_obj00030_plane000.jpg,correct,remove
103,PF71292-Globorotalia-menardii_obj00032_plane000.jpg,correct,remove
105,PF71292-Globorotalia-menardii_obj00034_plane000.jpg,correct,remove
107,PF71292-Globorotalia-menardii_obj00036_plane000.jpg,correct,remove
110,PF71293-Globorotalia-menardii_obj00003_plane000.jpg,remove,correct
113,PF71293-Globorotalia-menardii_obj00006_plane000.jpg,correct,remove
116,PF71293-Globorotalia-menardii_obj00010_plane000.jpg,correct,remove
117,PF71293-Globorotalia-menardii_obj00011_plane000.jpg,correct,remove
118,PF71293-Globorotalia-menardii_obj00012_plane000.jpg,correct,remove
119,PF71293-Globorotalia-menardii_obj00013_plane000.jpg,correct,remove
121,PF71293-Globorotalia-menardii_obj00015_plane000.jpg,correct,remove
122,PF71293-Globorotalia-menardii_obj00016_plane000.jpg,correct,remove
125,PF71293-Globorotalia-menardii_obj00019_plane000.jpg,correct,remove
127,PF71293-Globorotalia-menardii_obj00021_plane000.jpg,correct,remove
129,PF71294-Globorotalia-menardii_obj00001_plane000.jpg,correct,remove
134,PF71294-Globorotalia-menardii_obj00006_plane000.jpg,remove,correct
140,PF71294-Globorotalia-menardii_obj00012_plane000.jpg,correct,change
145,PF71294-Globorotalia-menardii_obj00017_plane000.jpg,remove,correct
146,PF71294-Globorotalia-menardii_obj00018_plane000.jpg,remove,correct
147,PF71294-Globorotalia-menardii_obj00019_plane000.jpg,remove,correct
148,PF71294-Globorotalia-menardii_obj00020_plane000.jpg,remove,correct
149,PF71294-Globorotalia-menardii_obj00021_plane000.jpg,remove,correct
150,PF71294-Globorotalia-menardii_obj00022_plane000.jpg,remove,correct
151,PF71294-Globorotalia-menardii_obj00023_plane000.jpg,remove,correct
152,PF71294-Globorotalia-menardii_obj00024_plane000.jpg,remove,correct
159,PF71294-Globorotalia-menardii_obj00031_plane000.jpg,remove,correct
160,PF71294-Globorotalia-menardii_obj00032_plane000.jpg,remove,correct
161,PF71294-Globorotalia-menardii_obj00033_plane000.jpg,correct,remove
162,PF71294-Globorotalia-menardii_obj00034_plane000.jpg,remove,correct
165,PF71294-Globorotalia-menardii_obj00037_plane000.jpg,remove,correct
167,PF71294-Globorotalia-menardii_obj00039_plane000.jpg,remove,correct
175,PF71296-Globorotalia-menardii_obj00008_plane000.jpg,correct,remove
179,PF71296-Globorotalia-menardii_obj00012_plane000.jpg,correct,remove
183,PF71296-Globorotalia-menardii_obj00016_plane000.jpg,correct,remove
188,PF71296-Globorotalia-menardii_obj00021_plane000.jpg,correct,remove
189,PF71296-Globorotalia-menardii_obj00022_plane000.jpg,remove,change
190,PF71296-Globorotalia-menardii_obj00023_plane000.jpg,correct,remove
191,PF71296-Globorotalia-menardii_obj00024_plane000.jpg,correct,remove
192,PF71296-Globorotalia-menardii_obj00025_plane000.jpg,correct,remove
196,PF71296-Globorotalia-menardii_obj00029_plane000.jpg,correct,remove
198,PF71296-Globorotalia-menardii_obj00031_plane000.jpg,correct,remove
199,PF71296-Globorotalia-menardii_obj00032_plane000.jpg,correct,remove
200,PF71296-Globorotalia-menardii_obj00033_plane000.jpg,correct,remove
201,PF71296-Globorotalia-menardii_obj00034_plane000.jpg,correct,remove
203,PF71296-Globorotalia-menardii_obj00036_plane000.jpg,correct,remove
